APPLICATION_NAME DATASET totInstruction ILP32 ILP64 ILP128 ILP256 total_ins_count_for_hpc_alignment totInstruction mem-read mem-write control-flow arithmetic floating-point stack shift string sse other nop InstrFootprint64 InstrFootprint4k DataFootprint64 DataFootprint4k mem_access memReuseDist0-2 memReuseDist2-4 memReuseDist4-8 memReuseDist8-16 memReuseDist16-32 memReuseDist32-64 memReuseDist64-128 memReuseDist128-256 memReuseDist256-512 memReuseDist512-1k memReuseDist1k-2k memReuseDist2k-4k memReuseDist4k-8k memReuseDist8k-16k memReuseDist16k-32k memReuseDist32k-64k memReuseDist64k-128k memReuseDist128k-256k memReuseDist256k-512k memReuseDist512k-00 GAg_mispred_cnt_4bits PAg_mispred_cnt_4bits GAs_mispred_cnt_4bits PAs_mispred_cnt_4bits GAg_mispred_cnt_8bits PAg_mispred_cnt_8bits GAs_mispred_cnt_8bits PAs_mispred_cnt_8bits GAg_mispred_cnt_12bits PAg_mispred_cnt_12bits GAs_mispred_cnt_12bits PAs_mispred_cnt_12bits total_brCount total_transactionCount total_takenCount total_num_ops instr_reg_cnt total_reg_use_cnt total_reg_age reg_age_cnt_1 reg_age_cnt_2 reg_age_cnt_4 reg_age_cnt_8 reg_age_cnt_16 reg_age_cnt_32 reg_age_cnt_64 mem_read_cnt mem_read_local_stride_0 mem_read_local_stride_8 mem_read_local_stride_64 mem_read_local_stride_512 mem_read_local_stride_4096 mem_read_local_stride_32768 mem_read_local_stride_262144 mem_read_global_stride_0 mem_read_global_stride_8 mem_read_global_stride_64 mem_read_global_stride_512 mem_read_global_stride_4096 mem_read_global_stride_32768 mem_read_global_stride_262144 mem_write_cnt mem_write_local_stride_0 mem_write_local_stride_8 mem_write_local_stride_64 mem_write_local_stride_512 mem_write_local_stride_4096 mem_write_local_stride_32768 mem_write_local_stride_262144 mem_write_global_stride_0 mem_write_global_stride_8 mem_write_global_stride_64 mem_write_global_stride_512 mem_write_global_stride_4096 mem_write_global_stride_32768 mem_write_global_stride_262144
bicg dataset3 97018313 27977646 20976174 15300039 12582144 97002758 97018313 23990205 10010329 5035038 37064615 0 6112 3431 15558 52876882 12959 5304 502407 7890 1024 61 23990249 502076 4015599 3497582 14966107 2000 2824 3548 505 248 114 999283 224 13 0 0 0 0 0 0 126 9266 8209 8565 9708 10878 8109 8533 8806 14259 8822 8313 8371 5030995 12666 7633 153097158 76977565 119284373 176879633 45971494 59960739 76944307 92929061 109932487 111966044 117990598 23990205 1073 23961049 23977177 23978367 23979452 23984457 23984643 73 16446 19215 21692 24031 3949293 8007345 10010329 14 8008945 10005880 10006124 10006372 10008536 10008542 1 2013764 2020683 2022471 2155134 10000013 10002727
cholesky dataset1 688604 136575 111504 88993 76859 674745 688604 174901 74119 98410 448329 0 7396 4596 13900 90049 14927 4123 3210 107 1058 74 174970 2872 44368 31542 8348 3753 3809 68752 2123 7718 1159 180 327 19 0 0 0 0 0 0 0 8747 6881 7487 8714 11334 6941 7423 7690 14805 7881 7083 7258 93345 9867 6515 1199265 456020 869258 936802 270499 304124 416212 522751 653426 689751 729341 174901 1373 77493 94960 99900 163221 167416 167612 81 20185 23849 59338 73829 149537 151258 74119 13 69590 70868 71883 72238 72308 72308 2 61144 69743 72295 72497 72607 72607
cholesky dataset2 11500233 2234516 1730100 1385397 1183997 11377774 11500233 3251066 1308486 1261377 7642999 0 7404 4873 122580 2340639 34990 23637 6406 157 1055 74 3251136 6068 534252 657033 12964 20212 23478 12386 15662 1717417 9931 24324 216300 1067 42 0 0 0 0 0 0 28258 25976 26690 27830 31344 26233 26745 26939 35018 27471 26475 26653 1256308 48774 26057 19084677 7879612 16253120 17056151 5270054 5591146 7740140 9821818 12554102 12706645 12955594 3251066 1373 1457723 1475741 1483730 3213467 3214356 3243793 81 39219 43439 51162 959870 1326532 3227420 1308486 13 1299793 1304468 1305048 1306542 1306549 1306692 2 1295026 1303629 1306306 1306784 1306838 1306974
cholesky dataset3 49516976693 8918724431 6754876415 5406501958 5350032442 49469249319 49516976693 14675233943 5386093968 5349914834 33414096493 0 7314 8489 47729119 10676173649 6029775 6010613 1002793 15726 1001 73 14675234013 1002459 2335129874 3000054595 133254 437511 1580602 5774104 20134237 60006242 81522085 1848236 3719611 7996444946 636707 1803741 5102148 14446524 40851302 104354710 1000251125 6009894 6001706 6004741 6003600 6017066 6005752 6008453 6006447 6028181 6011317 6009966 6009919 5349903814 12016818 6012926 80425924574 33512528394 56594998874 73641963999 22782705358 24119064466 33481948767 42825365226 54858383143 54894453971 54960458441 14675233943 1369 6664700232 6665236898 6665350148 6666247740 14667218601 14667218825 81 6019673 6540043 6653035 7422390 4012528739 4068028112 5386093968 13 5385062951 5386059325 5386066601 5386069163 5386089251 5386090249 2 5386067454 5386076051 5386079052 5386081994 5386086510 5386086510
correlation dataset1 336276 51193 44142 39546 36956 335920 336276 82669 32027 63596 210584 0 7468 4573 358 33803 12799 2070 3029 105 1070 73 82705 2596 28904 7820 6695 3833 4095 25074 2494 505 175 172 323 19 0 0 0 0 0 0 0 6456 4990 5458 6873 8640 4928 5380 5824 12297 5777 5049 5274 58470 5881 4419 594281 193686 370183 413362 86369 125274 167545 248003 272760 296339 315090 82669 1372 25903 44058 71036 73542 75231 75427 81 18814 28421 48926 51237 57297 59004 32027 16 26467 27739 29764 30130 30185 30185 2 17912 26976 29483 30250 30421 30421
correlation dataset2 2669652 387014 375924 367378 363944 2669296 2669652 722624 366745 391053 1537520 0 7468 4574 358 702900 15994 4868 4631 130 1052 73 722662 3499 60815 15952 7140 3080 4594 5144 40201 543391 7530 30924 281 111 0 0 0 0 0 0 0 9771 8124 8620 10064 12066 8063 8535 9003 15729 8922 8188 8437 385869 12159 7556 4596555 1534541 3706767 4066141 752535 1138498 1528884 2869148 2919335 2963759 3012794 722624 1372 45044 62277 63654 707877 708696 715439 81 25970 85303 534179 666745 669839 698688 366745 16 355503 360855 361276 364821 364873 364948 2 343375 356000 358390 359520 364168 365002
correlation dataset3 7098249676 1014651160 1013663103 1012767167 1012530284 7098249320 7098249676 2021939116 1014503171 1012561017 4054753635 0 7444 4561 358 2028612400 740436 722410 393109 6202 1066 74 2021939152 212772 7586031 1897918 6659 3534 2549 5189 1061 460 419871 172 8617903 1877407284 100901 504696 2221116 8776215 36405221 77769600 0 732284 730323 730820 732215 734575 730253 730733 731157 738211 731119 730391 730610 1012554730 1456557 729749 12168442505 4057919168 8293058835 11151633628 2028122916 3045994011 4063334013 8102099321 8107951027 8112569169 8119833976 2021939116 1362 4226973 4244192 4245567 4248045 2020490500 2020490698 82 1700386 13463722 107544591 860057300 2016150880 2016152639 1014503171 15 1012936364 1013777716 1013778133 1013779353 1014500162 1014500186 2 1012208790 1013057394 1013059783 1013059981 1013067240 1013124096
covariance dataset1 297087 44525 39105 35489 33502 296731 297087 73307 28643 56890 187654 0 5928 3363 358 29795 11174 1541 2863 82 1004 59 73339 2435 25877 6174 6459 2014 4740 23029 1801 285 111 152 245 17 0 0 0 0 0 0 0 5469 4475 4780 5879 7053 4354 4747 4959 10394 5054 4537 4594 52951 5144 3880 525471 167312 325669 368091 73206 107581 146254 223815 244712 264487 279932 73307 1062 20707 37259 64920 66009 67624 67788 73 18140 27149 48051 49275 53286 54906 28643 12 23980 24989 26543 26808 26866 26866 1 17871 24619 26494 27216 27382 27382
covariance dataset2 2599209 377708 369139 364581 361981 2598853 2599209 709576 362473 384192 1505507 0 5928 3364 358 676525 14465 4418 4458 107 995 59 709607 3330 63222 6282 6200 1957 3740 3498 40142 543564 7477 29891 212 92 0 0 0 0 0 0 0 8755 7610 7953 9069 10446 7491 7912 8137 13803 8198 7683 7758 380248 11423 7016 4471454 1478117 3606918 3971564 715663 1088061 1473375 2824092 2864751 2896595 2941908 709576 1062 28762 44777 45967 696587 697307 704097 73 32312 91016 539419 675172 678142 691010 362473 12 351793 356716 357134 360593 360645 360721 1 346134 352883 354649 355733 360378 361211
covariance dataset3 7091222720 1013955344 1013250253 1013246824 1013244896 7091222364 7091222720 2021086509 1014376698 1012549368 4052916974 0 5892 3352 358 2023444305 737640 723081 392795 6177 998 60 2021086541 212461 8841111 6148 6308 1968 2452 3741 493 245 209959 152 8811297 1877422631 100904 504702 2221130 8776252 36405360 77559227 0 730784 729797 730100 731211 732381 729675 730068 730276 735721 730381 729855 729906 1012545444 1455802 729204 12155778921 4051038320 8282576498 11139865876 2022351421 3037395808 4054673032 8096657833 8101255342 8104179036 8111437872 2021086509 1056 1700391 1716473 1717657 1718738 2019638455 2019638619 73 3376296 15139000 109219395 861731368 2018663617 2018665237 1014376698 12 1012809268 1013650274 1013650685 1013652275 1014373751 1014373775 1 1012927965 1012934684 1012936451 1012936607 1012943856 1013000712
deriche dataset1 490492 112101 106105 102150 100027 490136 490492 74741 32275 59970 286691 0 6022 3387 358 119953 11125 1094 3678 98 1019 59 74773 3344 40355 6371 6353 2036 2477 11504 495 693 175 664 213 93 0 0 0 0 0 0 0 5276 4274 4618 5764 6933 4156 4571 4844 10322 4864 4358 4451 55732 4751 3684 903613 351613 558365 676466 128440 190979 262718 351565 453914 490858 505511 74741 1062 33258 49524 66900 67973 68987 69171 73 33155 35904 46478 47473 54454 56136 32275 13 17724 18628 30025 30267 30461 30470 1 13741 20561 30457 30619 30837 30846
deriche dataset2 2051724 550366 536034 523871 521039 2051368 2051724 218088 129746 162102 1113058 0 6078 3387 358 744721 12308 1675 8797 177 1012 59 218119 8462 135094 6185 6023 2463 2768 3586 490 46326 110 152 3245 13 3198 4 0 0 0 0 0 6605 5258 5668 6821 8371 5138 5599 5880 11793 5850 5363 5464 157444 6690 4660 3820489 1610610 2534465 3143526 569256 859417 1203328 1651167 2203301 2325706 2344162 218088 1063 119275 135360 185462 211180 211894 212557 73 114720 117475 144374 170252 173023 199507 129746 13 77066 78053 102760 127641 127648 127965 1 69816 76675 102893 127695 127751 128047
deriche dataset3 664059517 188006054 185379390 183462888 183305383 664059231 664059517 61980854 42041433 42120734 351991394 0 5900 3344 287 267637841 41686 13374 2214476 34640 948 58 61980885 2214145 40944144 6140 5935 2350 2716 3529 483 246 110 152 170 16588813 0 0 0 0 0 0 2211952 30059 28746 29100 30236 31782 28624 29049 29291 35177 29329 28816 28903 42104307 53793 28188 1239618213 537775500 785752156 1051204623 188079876 285438139 400529125 553183056 743515083 779059752 779246094 61980854 1054 35410095 35426176 35427342 35428410 61968827 61968991 73 35405742 35408481 35410916 35411895 53109367 53110987 42041433 13 24339502 24340489 24340709 24340948 42035450 42035450 1 24324540 24331255 24333025 24333172 42027718 42027718
doitgen dataset1 282315 41346 32843 26410 22518 281959 282315 69190 26657 54808 173977 0 5940 6407 358 25237 12805 1179 2789 81 1017 59 69221 2458 31152 6363 7121 12442 4805 3585 479 285 115 152 247 17 0 0 0 0 0 0 0 5684 4114 4377 5360 8037 3990 4362 4563 10925 4687 4172 4232 50868 4419 3521 492231 160053 277170 327383 86093 106393 133045 172655 195195 218513 238891 69190 1062 42001 58563 61647 62744 63507 63671 73 16727 19468 21922 22910 48852 50472 26657 12 20752 21741 24567 24825 24854 24854 1 16475 23230 25002 25239 25394 25394
doitgen dataset2 4150141 543002 523244 508402 498499 4149785 4150141 958895 493591 517512 2562905 0 5940 5428 358 1004274 27262 16630 4640 110 1055 60 958927 4309 411912 7690 7326 2023 60456 404492 59904 247 110 151 177 126 4 0 0 0 0 0 0 21251 19559 19881 20977 22872 19438 19846 20063 26422 20138 19630 19696 513571 35318 18966 7278405 2619661 5514128 5636789 1036469 1084774 2107461 4412166 4505928 4594489 4731943 958895 1062 460817 485646 936336 937426 953160 953361 73 25562 29827 32340 33330 202668 937486 493591 12 473843 474830 491481 491736 491751 491770 1 481504 488264 490035 490210 490509 491271
doitgen dataset3 4379315443 552144771 549728291 546460866 543819663 4379315087 4379315443 1077072676 544366489 543655088 2728991680 0 5916 3357 358 1098107227 3413124 3403543 425868 6694 1016 60 1077072707 425533 471765368 6148 5959 2372 23703 3544 488 537180246 110 152 173 67658793 0 0 0 0 0 0 118 3449491 3427466 3427801 3428903 3451654 3427348 3427761 3427969 3454921 3428047 3427534 3427591 543651156 6851126 3426868 7666443013 2744228395 5777165324 6023453957 1095581790 1099014202 2202118257 4898659275 4915624507 4929934741 4961931152 1077072676 1056 536087917 536104002 536105187 1073706265 1073706986 1077067151 73 1717465 1783366 1785807 1786793 1789746 1791418 544366489 12 542628435 544322218 544322461 544364700 544364707 544364707 1 544272215 544278955 544280722 544280882 544280937 544280937
durbin dataset1 204445 31295 25832 21830 19885 204089 204445 47750 13409 43648 134036 0 5918 3533 358 4497 10813 1195 2662 79 1013 60 47990 2330 22720 6378 6383 2438 2475 3867 602 251 112 156 254 24 0 0 0 0 0 0 0 5160 4097 4530 5512 6797 3965 4462 4574 9953 4674 4229 4183 39564 4397 3541 369427 116922 192360 223749 49594 70896 94823 118908 141342 159754 170382 47750 1066 21610 38694 40174 41263 42002 42159 73 16507 19756 22727 24196 27521 29131 13409 12 9742 10884 11347 11593 11609 11609 1 3109 10007 11864 12030 12089 12089
durbin dataset2 292394 45499 36843 31912 28271 292038 292394 62910 18707 51527 186955 0 5918 3852 358 30507 11134 1436 2678 79 1011 60 63957 2347 32090 8654 7048 2936 4059 5410 589 271 110 156 252 35 0 0 0 0 0 0 0 5711 4301 4950 5734 7645 4224 4860 4788 10953 4905 4609 4409 47162 4881 3882 531329 184093 318024 352820 82764 123462 163896 194063 245794 266439 278575 62910 1066 28409 52214 54858 56443 57182 57339 73 17831 22161 29343 35673 42202 43812 18707 12 13141 14783 16307 16912 16930 16930 1 7617 14882 16846 17171 17228 17228
durbin dataset3 39371774 18996354 18121713 17940669 17864915 24431529 39371774 19036802 15996761 2075688 14297278 0 5944 11372 14941734 8010637 17175 7085 3361 90 1013 60 19302240 3030 17332707 693878 18353 21975 45129 81903 145018 231512 390935 337487 242 71 0 0 0 0 0 0 0 14330 8473 12254 9957 16645 8396 12135 8999 22345 9072 11868 8605 2064721 13200 10431 75615167 64067879 76459629 81318730 54889806 60911207 65943931 67028120 75140054 75197009 75232517 19036802 1067 16970534 18987224 19018130 19022711 19031052 19031210 73 14989052 15014307 15126850 15948903 19006277 19007887 15996761 11 15954142 15959628 15989408 15991808 15994973 15994974 1 15975813 15986381 15988466 15989956 15991511 15991511
fdtd-2d dataset1 355389 68750 55788 44317 35038 355033 355389 110308 31377 45832 216741 0 5998 3382 358 66105 13853 1104 2887 85 1052 60 114478 2553 43682 34531 10579 5344 2441 3850 493 10435 154 151 248 17 0 0 0 0 0 0 0 5099 4115 4342 5455 6726 3997 4322 4565 9823 4657 4129 4210 41818 4352 3484 591806 244727 402371 452195 100408 181545 219785 246043 271821 299407 330680 110308 1066 21452 37920 99405 100487 104447 104611 73 27628 31717 45211 46211 89321 90941 31377 13 9397 10673 28329 28574 29500 29500 1 19914 27466 29239 29404 30089 30089
fdtd-2d dataset2 3562230 740974 589174 443068 316962 3561874 3562230 1093896 311091 344754 2089639 0 5998 3379 358 1067205 29814 3667 4465 107 1016 59 1158367 4132 355677 502492 69718 2457 28349 29117 491 246 110 151 165334 93 0 0 0 0 0 0 0 14885 11360 11729 12898 16798 11243 11678 11952 20101 11949 11446 11540 340777 18914 10763 5754439 2567277 5631474 5976978 1402625 2472425 3069646 3491352 4202546 4273919 4385844 1093896 3425 1030912 1065677 1066865 1086632 1087346 1088356 73 202061 209646 212101 402136 404887 1065732 311091 2372 290956 303817 304065 309029 309036 309295 2361 290164 299336 301110 301275 301330 305001
fdtd-2d dataset3 10224305308 2214088978 1820946114 1540530081 1455043947 10224304952 10224305308 3298644112 902511532 903038684 6009637335 0 5779 3330 358 3303302816 4007905 503500 452686 7113 970 60 3522069643 452351 1049720516 1573579921 223282584 1843 2075 3161 447 241 75350109 75349650 173 13 0 0 0 0 0 0 524326559 1635509 1505832 1505916 1507180 1637233 1505699 1505803 1506274 1640322 1506106 1505610 1505745 903034967 3007624 1504965 16250280345 7514222531 13303260636 17726329452 4203842265 7503465436 9303691513 10506814654 12611241470 12623159266 12644170339 3298644112 500282 3290625118 3294632858 3294633890 3294634864 3298629077 3298629241 72 598715502 599718164 599720543 599721506 1199124131 1199125678 902511532 499511 898708249 901507882 901508111 901508349 902507355 902507355 499501 900102299 900608398 900610140 900610290 900610344 900610344
